Prompt Cards,Set
"Hello, This is my first meeting and I'm addicted to ______.","Crows Adopt Vulgarity, Vol. 3"
Hello! Do you have a moment to talk about our lord and savior ______.,Voter's Choice: The Second Expansion
"Hello.  My name is Elder Price, and I would like to share with you the most amazing _____.","Clams Attempt Harmonica, Volume 1"
"Hello. I'd like to order a large cheese pizza and a side of ______, please.",Words Against Morality: Volume 3
"Help me doctor, I've got ______ in my butt!",CAH: Blue Box Expansion
"Help me doctor, I've got ______ in my butt!",CAH: Fifth Expansion
HELP WANTED: Need assistance with ______. No experience necessary.,CAH: Hidden Gems Bundle: A Few New Cards We Crammed Into This Bundle Pack (Amazon Exclusive)
Help! My dog just ______.,Kids Against Maturity
"Hemp is nmot only widely used for clothing, it's also popularly used to ______.",Potheads Against Sanity
"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace.",CAH: Blue Box Expansion
"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace.",CAH: Fifth Expansion
"Here is the church
Here is the steeple
Open the doors
And there is ______.",CAH Base Set
"Here is the church, here is the steeple. Flip it over and here are the _____.",Kids Against Maturity
"Here lies First Last, Year-2015, devoted friend, lover of ______.",2014 Holiday Pack
Here's a fact that might surprise you. _____ is caused by _____ and often leads to _____.,"Guards Against Insanity, Edition 1"
"Here's a few topics for discussion when the Pope visits: _________, _________, and _________.","Bad Campaign, The Presidential Party Game!"
Here's a little something I learned in business school: The customer is always ______.,Absurd Box Expansion
"Here's the draw: $1,000,000 every week for the rest of your life. Here's the catch: You're involved with ______ for the rest of your life.",Words Against Morality: Volume 4
"Here's what you can expect for the new year.
Out: __.
In: __.",Seasons Greetings Pack
"Here’s what you can expect for the new year.
Out: ______.
In: ______.",2013 Holiday Pack
Heroin: a proud supporter of ______.,Words Against Morality: Volume 4
"Hey baby, come back to my place and I’ll show you ______.",CAH: Red Box Expansion
"Hey baby, come back to my place and I’ll show you ______.",CAH: Third Expansion
"Hey Chardonnay, wanna see ______.",Kiwis Against Morality
"Hey Chardonnay, wanna see ______.",Kiwis Versus Morality
"Hey diddle diddle the ______ and the fiddle, the ______ jumped over the moon.",Kids Against Maturity
Hey everybody! I just won the ______ eating contest.,Kids Against Maturity
"Hey guys, welcome to Boston Pizza! Would you like to start the night off right with ______?",CAH Base Set
"Hey guys, welcome to Chili's! Would you like to start the night off right with ______?",CAH Base Set
"Hey guys, welcome to Sizzler! Would you like to start the night off right with ______?",CAH Base Set
"Hey guys, welcome to TGIF! Would you like to start the night off right with ______?",CAH Base Set
Hey kids! Did you know that combining _____ with _____ is great for relieving _____.,"Guards Against Insanity, Edition 1"
Hey little girl. What's that in your hand?,Cows Against Hamburgers - Patty Pack #1
Hey little girl. What's that in your hand?,Cows Grilling Hamburgers - Patty Pack #1
"Hey man, you gonna come check out my show tonight?  My new band is called ""______.""",Crabs Adjust Humidity: Volume 2
Hey Reddit! I'm ______. Ask me anything.,CAH Base Set
"Hey there, Young Scientists! Put on your labcoats and strap on your safety goggles, because today we're learning about ______!",Science Pack
"Hey, boot! What happened to your fucking face?!?",Disgruntled Decks: Marine Corps/Jarhead Edition
"Hey, honey.
For the bedroom, were you thinking, ""Robin's Egg Blue"" or ______Pink?""",Absurd Box Expansion
"Hey, kids.
I'm Connor's dad, but you can call me Mr. ______.",Dad Pack
"Hey, perverts!

It's ""Adam and Eve,"" not ""______ and ______"".",Crabs Adjust Humidity: Volume 7
"Hey, Susie. I know your job is _________ but can you just grab me _________? Thanks.","Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
"Hey, whatever happened to Renee Zellweger?",Reject Pack 2
"Hey, while you're at the Piggly Wiggly's, could you pick me up ______?",Cols Against Kentucky 2
"Hey, XO! Instead of just echoing the commander, why don't you tell us about the importance of ______?",Disgruntled Decks: Coast Guard/Coastie Edition
"Hey, you guys want to try this awesome new game? It’s called ______.",TableTop Pack
"Hey! I know we haven't talked in years, but I was wondering if you'd like to make residual income by selling ______ with me.",Cads Against Adulting
HGTV presents its newest home improvement series titled ______,Cards About Toronto
"Hi I'm ______, and this is ______.",The Catholic Card Game: Five Deck Expansion Pack
"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time.",CAH: Blue Box Expansion
"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time.",CAH: Fifth Expansion
"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______."" Can you explain?",CAH: Blue Box Expansion
"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______."" Can you explain?",CAH: Fifth Expansion
"Hidden behing the Mona Lisa, scientists recently found Da Vinci's original subject: ______.",Carps & Angsty Manatee - Volume 2
High school students today just don't have a good grasp of _________.,Humanity Hates Trump: Expansion Pack 1
Hillary Clinton wants to focus her campaign on __________.,"Bad Campaign, The Presidential Party Game!"
Hillary is better then Trump because of _________.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Hillary is worse then Trump because of _________.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Hillary loves her new Snapchat account because the messages she sends about _________ disappear all by themselves., 2016 Election Game 
Hillary was caught with _________.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Hillary will never get it. I will tell you that right now.,Humanity Hates Trump: Base Set
Hillary's email divulged cryptic discussions on _________.,"Bad Campaign, The Presidential Party Game!"
His Tinder profile seemed fine until he listed ______ as an interest.,Cads Against Adulting
History is written by ______.,Bards Dispense Profanity
Hitler did nothing wrong; abortions should be legal for gay babies; Bush wasn't a bad president; and now I'll read the card: what did I masturbate to before I got here?,Cocks Abreast Hostility: Cock Pack One: Just The Tip
"HO HO HO! Merry Christmas, Chief! You were naughty this year, so I put ______ in your stocking!",Disgruntled Decks: Air Force Edition
Hobbit's feet smell like ______.,Kids Against Maturity
"Hold up. I gotta deal with ___, then l'mma smoke this.",Weed Pack
"Holding back laughter, the warrant officer suggested you add ______ to your CONOP.",Disgruntled Decks: Army Edition
Holy crap?! I've just realized that my super-power causes _____ to _____.,"Guards Against Insanity, Edition 1"
Home for the holidays was great until Mom walked in on me ____ (ing).,Dirty Nasty Filthy
Home schooling is a plot by ______ for ______.,Conspiracy Theory
"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",CAH: Blue Box Expansion
"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",CAH: Fourth Expansion
"Honey, I have good news, and bad news.  The good news is that I'm _____.  The bad news is that I'm _____.","Clams Attempt Harmonica, Volume 1"
"Honey, I've decided to put the house up for sale. Yes, it's because of the new neighbors. Do you really want to live next to ______?",Cats Abiding Horribly: Episode III - The SJWs Strike Back
"Honey, Mommy and Daddy love you very much. But apparently Mommy loves ______ more than she loves Daddy.",2014 Holiday Pack
"Honey, there is a charge for R 3 756,25 labeled ___ on the credit card. Can you explain it?",Hilarious!
"Honor a fallen comrade. Seriously, pause the game and raise your glasses for someone who made the ultimate sacrifice.",Disgruntled Decks: Air Force Edition
"Honor a fallen comrade. Seriously, pause the game and raise your glasses for someone who made the ultimate sacrifice.",Disgruntled Decks: Army Edition
"Honor a fallen comrade. Seriously, pause the game and raise your glasses for someone who made the ultimate sacrifice.",Disgruntled Decks: Marine Corps/Jarhead Edition
"Honor a fallen comrade. Seriously, pause the game and raise your glasses for someone who made the ultimate sacrifice.",Disgruntled Decks: Navy Edition
"Honor those lost at sea. Seriously, pause the game and raise your glasses for those who unknowingly made their final voyage.",Disgruntled Decks: Coast Guard/Coastie Edition
"Honor, Courage, Commitment, and ______: The Newest Marine Corps Value.",Disgruntled Decks: Marine Corps/Jarhead Edition
"Honor, Respect, Devotion to Duty, and ______: the newest Coast Guard Core Value.",Disgruntled Decks: Coast Guard/Coastie Edition
Hope my friends don't find _________ in the closet.,Not Parent Approved
Hopeful Christian's successor and the new head of Gloriavale. Please welcome ______.,Kiwis Versus Morality
Hopeful Christians predecessor and the new head of Gloriavale. Please welcome ______.,Kiwis Against Morality
"Hopefully, in our generation, we will solve the problem of ______.",Cakes Athirst Hilarity Volume 3
Hoping ____ will help you get your life back on track.,Depravity
Hoping customs don't notice ____ in your bag.,Depravity
Hoping the Bride and Groom like your present of ____.,Depravity
Hoping the Judge will be lenient on you for ____ on t he bus.,Depravity
Hoping the ticket inspector will believe your story of ____ for not having a ticket.,Depravity
Hoping you have successfully deleted ____ from your internet search history.,Depravity
Hoping your boss will accept ____ as your reason for calling in sick.,Depravity
Hoping your new partner dosen't open your desktop folder of ____ pictures.,Depravity
Hoping your partner doesn't see the photo of ____ after you give them your phone.,Depravity
Horton is always forcing his ______ on other people.,Cards for the Masses
Hot damn! That last deployment was a super sloppy mix of ______ and ______.,Disgruntled Decks: Air Force Edition
Housekeeping! You want ______?,Reject Pack 2
How am I compensating for my tiny penis?,CAH: Blue Box Expansion
