Response Cards,Set
A sexy tractor.  Vast fields of literally nothing.,Carps & Angsty Manatee - Texas Edition
A sexy uterus.,Carps & Angsty Manatee - Volume 1
A Shake Weight.,Clones Attack Hilarity #2
a shaken jelly,Dick
A shallow grave.,Crabs Adjust Humidity: Volume 5
A shallow grave.,Crazy & Horrible Rabbit - Vol. 1
A Shamrock Shake,The Game Without Decency
A shark riding an eagle.,Babies vs. Parents
A shark!,CAH Base Set
A sharp surprise,"Clams Attempt Harmonica, Volume 1"
a shart that I got away with,Skewered And Roasted
A shaved cat.,Cakes Athirst Hilarity Volume 2
A shaved pussy,Depravity
A shaved scrotum,The Game Without Decency
A shiny penny,Cards Against Profanity
A shiny rock that proves I love you.,CAH: Blue Box Expansion
A shiny rock that proves I love you.,CAH: Fourth Expansion
a ship-load of precious sperm,Dick
A Shirley Temple made from the remains of the actual Shirley Temple.,Voter's Choice: The First Expansion
A Shirley Temple made from the remains of the actual Shirley Temple.,Words Against Morality: Volume 2
a shirt that hides my man boobs,Skewered And Roasted
A shirtless Channing Tatum poster.,Cats Abiding Horribly: Episode II - A New Low
A shit at work that's so foul if becomes water cooler talk.,Words Against Morality: Volume 1
a shit eating grin,Skewered And Roasted
A shit of a thousand wipes.,"Guards Against Insanity, Edition 5"
A shit of biblical proportions.,"Guards Against Insanity, Edition 3"
a shit stain,Skewered And Roasted
A shit-hot flight line cop.,Disgruntled Decks: Air Force Edition
a shit-smeared g-string,Evil Apples
A shit-ton of booze from the Class VI store.,Charlie Foxtrot
A shit-ton of glitter.,Crabs Adjust Humidity: Volume 4
A shitty FICO score.,Clones Attack Hilarity #1
A shocking amount of Lurpak,Pigs Against Profanity: Volume 1
A shockingly flatulent bobcat.,Crabs Adjust Humidity: Volume 1
A shockingly realistic reenactment of the Games of Thrones.,Voter's Choice: The Third Expansion
"A shoehorn, the kind with teeth.",Crabs Adjust Humidity: Volume 7
A shop chief who you wouldn't mind violently murdering.,Disgruntled Decks: Air Force Edition
a short bald man,Skewered And Roasted
A short penance.,The Catholic Card Game: Base Deck
"A short, ruthless brawl between the Oompa Loompas and the Lollipop Guild.",Cards and Punishment Vol. Two
A shortage of fighter pilots.,Disgruntled Decks: Air Force Edition
A shot of bourbon and an ice-cold bottle of Ale-8 One.,Cols Despite Kentucky
A shot of whiskey and a Lone Star beer.,Carps & Angsty Manatee - Texas Edition
A shotgun blast to the dick.,Clones Attack Hilarity #1
A shotgun wedding.,Fun in the Oven
A shotgun weding,Rotten Apples: The Tasteless Adult Party Game
a shower poop,Skewered And Roasted
a shrewd thrust at your belly,Bards Dispense Profanity
A shrieking biological alarm clock.,Cads About Matrimony
A shrieking biological alarm clock.,Cads About Matrimony Poly Pack
"a shrill, high-pitched voice.",Skewered And Roasted
a shutoff switch,Skewered And Roasted
A sick burnout.,CAH Base Set
A sick wombat.,CAH Base Set
A sickening dull thud.,"Guards Against Insanity, Edition 5"
A sickly child-king.,CAH Base Set
a side boob shot,Skewered And Roasted
A sideshow freak,The Game Without Decency
A sign language interpreter at a Trump rally just wildly swinging middle fingers.,Humanity Hates Trump: Expansion Pack 1
"a sign, with--""no suicides permitted here""",Dick
A silent orgasm.,Clones Attack Hilarity #1
A silent retreat.,The Catholic Card Game: Base Deck
A silly old sea captain who's just full of stories.,Crabs Adjust Humidity: Volume 3
A silver bullet,The Game Without Decency
a simple farm boy from Indiana,Evil Apples
A simultaneous nightmare and wet dream starring Sigourney Weaver.,2013 Holiday Pack
A Single mum with a 1.5L Nitro,Kiwis Against Morality
A single mum with a 1.5L Nitro,Kiwis Versus Morality
a single piece of shit,Skewered And Roasted
"A single, shiny Bitcoin.",Crabs Adjust Humidity: Volume 4
A sink full of pee.,Hilarious!
A sinking boat full of brown people,JadedAid: A Card Game to Save Humanitarians
A sinking Rainbow Warrior,Kiwis Against Morality
A sinking Rainbow Warrior,Kiwis Versus Morality
A sippy cup fill of curdled milk,KinderPerfect: A Timeout For Parents (Kickstarter Set)
A sippy cup full of curdled milk,KinderPerfect (Commercial Set)
A sippy cup full of tequila,Cads About Maternity - A game for bad mommies
A sippy cup.,Fun in the Oven
A six month vacation to the Third World.,Disgruntled Decks: Air Force Edition
A six pack,Rotten Apples: The Tasteless Adult Party Game
A six-month old bag of Halloween candy,KinderPerfect: A Timeout For Parents (Kickstarter Set)
A six-month-old bag of Halloween candy,KinderPerfect (Commercial Set)
A six-point plan to stop the boats.,CAH Base Set
A size queen.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
A skankosaurus.,Voter's Choice: The Fourth Expansion
A skein of yarn knitting with a ball of people.,Knitters Against Swatches Second Edition
A sketch landing.,Disgruntled Decks: Air Force Edition
a skin tightening facial,Skewered And Roasted
A skirt too short,KinderPerfect: Tween Expansion Pack
A slab of VB and a pack of durries.,CAH Base Set
A slack-jawed yokel.,Crabs Adjust Humidity: Volume 2
A slave,Rotten Apples: The Tasteless Adult Party Game
A sleazy peep show,Depravity
A sleazy recruiter driving an '85 panel van packed with teenage girls and several cases of Four Loko.,Disgruntled Decks: Navy Edition
A sleep over with a bus full of convicted pedophiles.,Pigs Against Profanity: Volume 3
"A slender, pasty vampire that sparkles in the sun named Edward.",Cats Abiding Horribly: Episode I - The Dirty Goblin
"A slender, pasty vampire that sparkles in the sun.",Cats Abiding Horribly: Episode I - The Dirty Goblin
a slew of meaningless one-night stands,Evil Apples
A slightly mummified moa foot,Kiwis Versus Morality
A slightly muymmified moa foot…,Kiwis Against Morality
A slightly ripe corpse,The Game Without Decency
A slightly shittier parallel universe.,CAH : Second Expansion
A slightly shittier parallel universe.,CAH Base Set
A slightly shittier parallel universe.,CAH: Red Box Expansion
a slightly used tampon,Evil Apples
A slimy fucking walrus-looking piece of shit.,Disgruntled Decks: Marine Corps/Jarhead Edition
A slip of the tongue,Rotten Apples: The Tasteless Adult Party Game
A Slip'N Slide® made of sandpaper.,Cards and Punishment Vol. Two
A slow painful death.,Cakes Athirst Hilarity Volume 1
"A slow, depressingly sad hand job.",Cakes Athirst Hilarity Volume 4
A slowly encroaching circle of wolves.,CAH: Green Box Expansion
A slutty drunk Auntie,Depravity
A slutty one night stand,Depravity
a slutty outfit,Skewered And Roasted
A slutty training bra,The Game Without Decency
A sly root in the disabled toilets…,Kiwis Versus Morality
A small bottle of bourbon.,Babies vs. Parents
A small boy raping a priest.,"Crows Adopt Vulgarity, Vol. 1"
A small child's eery laughter.,WTF Did You Say?!?
A small country house with enough land to bury the evidence.,WTF Did You Say?!?
a small grey-coated gnat,Bards Dispense Profanity
A small loan of a million dollars.,Humanity Hates Trump: Expansion Pack 1
A small loan of a million dollars.,Words Against Morality: Volume 3
A small mound of racist bones that have been surgically removed from Trump's body.,Trumped UpCards: The World's Biggest Deck*
A small price to pay for half off the catering.,Cads About Matrimony
A small price to pay for half off the catering.,Cads About Matrimony Poly Pack
A smaller-than-average putter.,Trumped UpCards: The World's Biggest Deck*
"A smaller, blacker vagina.",Carbs of the Huge Manatee: General Expansion 1
"A smaller, whiter vagina.",The Worst Card Game: 2016 National Edition
A Smart Car pacekd with five Marines and a case of Natty Light.,Disgruntled Decks: Marine Corps/Jarhead Edition
A smartphone in the toilet,KinderPerfect (Commercial Set)
A smelly colleagues body odour,Depravity
A smelly dump,Rotten Apples: The Tasteless Adult Party Game
A smile or just a nod.,Hanukkah LOL Pack
"A smiling black man, a latina businesswoman, a cool Asian, and some whites.",CAH: First Expansion
"A smiling black man, a latina businesswoman, a cool Asian, and some whites.",CAH: Red Box Expansion
A smiling farmer with the world's biggest pussy.,CAH: Procedurally-Generated Cards
A smiling prince with a sopping wet dingus.,CAH: Procedurally-Generated Cards
A smiling Rabbi with a weird ballsack.,CAH: Procedurally-Generated Cards
A smiling school teacher with history's greatest twat.,CAH: Procedurally-Generated Cards
A smirking famale Ranger.,Disgruntled Decks: Army Edition
A smooth-talking WWII Vet scoring some sweet nursing home trim.,Disgruntled Decks: Air Force Edition
A snapping turtle biting the tip of your penis.,CAH Base Set
A snapping turtle biting the tip of your penis.,Cards Against/For South Africa
A snart (sneezing and farting at the same time),Kids Create Absurdity
A sneaky finger fuck in the cinema,Depravity
A sneaky little devil,KinderPerfect (Commercial Set)
A sneaky poke and sniff,Depravity
A Snocksucker.,Babies vs. Parents
A snotklap,Cards Against/For South Africa
A snotklap.,Hilarious!
A so-so relationship with the GOP donor class.,Trumped UpCards: The World's Biggest Deck*
A sober Irishman who doesn't care for potatoes.,CAH Base Set
A sober Irishman who doesn’t care for potatoes.,CAH: UK Conversion Kit
A sober Irishman.,WTF Did You Say?!?
A sobering quantity of chili cheese fries.,Food Pack
A sobering quantity of chili cheese fries.,PAX Prime 2015 Food Pack A (Mango)
A soccer ball to the crotch.,Not Parent Approved
"A sofa that says “I have style, but I like to be comfortable.”",CAH : Second Expansion
"A sofa that says “I have style, but I like to be comfortable.”",CAH: Red Box Expansion
A Soft Pink Hole,Dirty Nasty Filthy
A Soft Wet Kiss,Personally Incorrect
"A softer, more ticklish Corps that's powered by unicorn cum.",Disgruntled Decks: Marine Corps/Jarhead Edition
A soggy biscuit,Words Against Morality: Volume 3
A soggy biscuit.,Crabs Adjust Humidity: Volume 5
A soggy biscuit.,Crazy & Horrible Rabbit - Vol. 1
A soggy bowl of corn flakes,The Game Without Decency
A soggy Sao.,CAH Base Set
A soiled baby diaper fight.,Hilarious!
A soiled g-string,Depravity
A soiled undershirt worn by an overweight construction worker,The Game Without Decency
A solar powered dildo,Pigs Against Profanity: Volume 1
A solid five-year plan.,Cads About Matrimony
A solid five-year plan.,Cads About Matrimony Poly Pack
A solid gold golf course.,Trumped UpCards: The World's Biggest Deck*
A solid platinum trophy wife with diamond-encrusted accents.,Trumped UpCards: The World's Biggest Deck*
a solid pyramid of fat,Dick
a solid ROI (return on investment),Skewered And Roasted
A solution in search of a problem.,Carbs of the Huge Manatee: General Expansion 3
A song about how great Nebraska is.,Crabs Adjust Humidity: Volume 3
A sopping wet vagine.,Clones Attack Hilarity #1
a sort of animal balloon,Dick
A sort of badger-haired old merman,Dick
a sort of disinfecting agent,Dick
a sort of prodigious dyspepsia,Dick
"a sort of whisker, or rather a moustache",Dick
"A soulful rendition of ""Ol' Man River.""",CAH : Second Expansion
A sound night's sleep.,Fun in the Oven
A soundproof crib,Cads About Maternity - A game for bad mommies
A spandex clad douchebag,Skewered And Roasted
A spanking,Rotten Apples: The Tasteless Adult Party Game
A spastic nerd.,CAH Base Set
A special little snowflake.,Carbs of the Huge Manatee: General Expansion 1
A special needs child eating a pillow.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
A special snowflake.,Crabs Adjust Humidity: Volume 5
A special snowflake.,Crazy & Horrible Rabbit - Vol. 1
A specially trained robot that tortures annoying family members.,Not Parent Approved
a speculum (a medical tool for investigating body orifices),Skewered And Roasted
"A speedo, a small dick, and a hairy chest.",WTF Did You Say?!?
A spider so big it could eat a man,Cards Against Profanity
A spiffy new cardigan.,The Catholic Card Game: Base Deck
A split personality that runs amok while I'm asleep,Cards for the Masses
A sponge,Kids Against Maturity
A spontaneous 'Careless Whisper' saxophone solo,"Clams Attempt Harmonica, Volume 1"
A spontaneous conga line.,CAH : Third Expansion
A spontaneous conga line.,CAH: Red Box Expansion
A spontaneous musical number.,Carps & Angsty Manatee - Volume 2
a spoonful of jizz,Skewered And Roasted
A sprinkle of the finest crystal meth on the eyeballs.,"Crows Adopt Vulgarity, Vol. 3"
A squad of Marines breaking down the front door.,Charlie Foxtrot
A squadron of moles wearing aviator goggles.,CAH : Second Expansion
A squadron of moles wearing aviator goggles.,CAH: Red Box Expansion
a squeeze of the hand,Dick
A squirrel fight,Kids Create Absurdity
A squirt gun full of cat pee.,Cards Against/For South Africa
A squirt gun full of cat pee.,Hilarious!
A sriracha filled doughnut.,WTF Did You Say?!?
A SSgt whi is functionally illiterate.,Disgruntled Decks: Marine Corps/Jarhead Edition
A stack of bunnies in a trenchcoat.,Reject Pack 2
A stack of puppies in a trench coat.,Cards Against Humanity Saves America Pack
A staff officer referencing Clausewitz.,Disgruntled Decks: Army Edition
A star on the Hollywood Walk of Fame.,Not Parent Approved
A Star Wars® backpack with matching lunch box and undies.,Not Parent Approved
A Stark family where all of the children survive.,PAX Prime 2014 Custom Printed Cards
A startingly high-pitched voice,Cards Against Profanity
